AQUATHLON DELLE ALPI | 10-05-2026 | Bolzano/Bozen (Bolzano) | Trentino-Alto Adige/Südtirol | Aquathlon Super Sprint		Giovanile | 
ASTICO DUATHLON 2026 | 29-03-2026 | Lugo di Vicenza (Vicenza) | Veneto | Duathlon Kids		Giovanile | 
ASTICO DUATHLON 2026 | 29-03-2026 | Lugo di Vicenza (Vicenza) | Veneto | Duathlon Sprint		Bronze | 
BIM TRIATHLON | 14-06-2026 | Bellaria-Igea Marina (Rimini) | Emilia-Romagna | Triathlon Olimpico		Gold  Paratriathlon | 
C.I. GIOVANI INDIVIDUALE E MIXED RELAY 2+2 | 18-04-2026 | Magione (Perugia) | Umbria | Duathlon Kids		Giovanile | 
C.I. GIOVANI INDIVIDUALE E MIXED RELAY 2+2 | 18-04-2026 | Magione (Perugia) | Umbria | Duathlon Sprint		Giovanile | 
C.I. GIOVANI INDIVIDUALE E MIXED RELAY 2+2 | 18-04-2026 | Magione (Perugia) | Umbria | Duathlon Sprint		Silver | 
C.I. GIOVANI INDIVIDUALE E MIXED RELAY 2+2 | 18-04-2026 | Magione (Perugia) | Umbria | Duathlon Staffette		Giovanile | 
C.I. GIOVANI INDIVIDUALE E MIXED RELAY 2+2 | 18-04-2026 | Magione (Perugia) | Umbria | Duathlon Super Sprint		Giovanile | 
C.I. GIOVANI INDIVIDUALE E MIXED RELAY 2+2 | 18-04-2026 | Magione (Perugia) | Umbria | Duathlon Youth		Giovanile | 
C.I. WINTER TRIATHLON A SQUADRE | 07-02-2026 | Alagna Vsesia (Vercelli) | Piemonte | Winter Duathlon Atipico		Giovanile | 
C.I. WINTER TRIATHLON A SQUADRE | 07-02-2026 | Alagna Vsesia (Vercelli) | Piemonte | Winter Duathlon Sprint | 
C.I. WINTER TRIATHLON A SQUADRE | 07-02-2026 | Alagna Vsesia (Vercelli) | Piemonte | WinterTriathlon Atipico		Giovanile | 
C.I. WINTER TRIATHLON A SQUADRE | 07-02-2026 | Alagna Vsesia (Vercelli) | Piemonte | WinterTriathlon Sprint | 
C.I. WINTER TRIATHLON A SQUADRE | 07-02-2026 | Alagna Vsesia (Vercelli) | Piemonte | WinterTriathlon Staffetta | 
CAMPIONATI ITALIANI DI DUATHLON CLASSICO NO DRAFT - ASSOLUTI - DI CATEGORIA - ELITE E AGE GROUP | 12-04-2026 | Pontoglio (Brescia) | Lombardia | Duathlon Classico		Gold | 
CAMPIONATI ITALIANI TRIATHLON CROSS - CAPOLIVERI | 01-05-2026 | Capoliveri (Livorno) | Toscana | Triathlon Cross Triathlon | 
CAMPIONATO ITALIANO AQUATHLON COPPA ITALIA E TROFEO SVILUPPO TRIATHLON | 06-06-2026 | Porto Sant'Elpidio (Fermo) | Marche | Aquathlon MiniAquathlon		Giovanile | 
CAMPIONATO ITALIANO AQUATHLON COPPA ITALIA E TROFEO SVILUPPO TRIATHLON | 06-06-2026 | Porto Sant'Elpidio (Fermo) | Marche | Aquathlon Sprint		Giovanile | 
CAMPIONATO ITALIANO AQUATHLON COPPA ITALIA E TROFEO SVILUPPO TRIATHLON | 06-06-2026 | Porto Sant'Elpidio (Fermo) | Marche | Aquathlon Super Sprint		Giovanile | 
CAMPIONATO ITALIANO AQUATHLON COPPA ITALIA E TROFEO SVILUPPO TRIATHLON | 06-06-2026 | Porto Sant'Elpidio (Fermo) | Marche | Triathlon Minitriathlon		Giovanile | 
CAMPIONATO ITALIANO AQUATHLON COPPA ITALIA E TROFEO SVILUPPO TRIATHLON | 06-06-2026 | Porto Sant'Elpidio (Fermo) | Marche | Triathlon Super Sprint		Giovanile | 
CAMPIONATO ITALIANO DUATHLON CROSS | 08-03-2026 | Spresiano (Treviso) | Veneto | Duathlon		Silver | 
